duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id
135,,Movie,Love,9/8/2017,2015,NR,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,80057969
98,,Movie,Manhattan Romance,9/8/2017,2014,TV-14,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,80060297
96,,Movie,Moonwalkers,9/8/2017,2015,R,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",80046728
79,,Movie,Rolling Papers,9/8/2017,2015,TV-MA,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",80046727
113,,Movie,Stonehearst Asylum,9/8/2017,2014,PG-13,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",70304988
90,,Movie,The Runner,9/8/2017,2015,R,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,80057700
80,,Movie,6 Years,9/8/2015,2015,NR,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",80045922
,1,TV Show,Castle of Stars,9/7/2018,2015,TV-14,"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",80244601
77,,Movie,City of Joy,9/7/2018,2018,TV-MA,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",80203094
,1,TV Show,First and Last,9/7/2018,2018,TV-MA,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,80190843
112,,Movie,Laddaland,9/7/2018,2011,TV-MA,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",70241607
106,,Movie,Next Gen,9/7/2018,2018,TV-PG,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",80988892
106,,Movie,Sierra Burgess Is A Loser,9/7/2018,2018,PG-13,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,80239639
102,,Movie,The Most Assassinated Woman in the World,9/7/2018,2018,TV-MA,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",80159586
114,,Movie,Cézanne et moi,9/7/2017,2016,R,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",80152447
,1,TV Show,Archibald's Next Big Thing,9/6/2019,2019,TV-Y7,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",80221550
125,,Movie,Article 15,9/6/2019,2019,TV-MA,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,81154455
142,,Movie,Care of Kancharapalem,9/6/2019,2018,TV-14,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",81113928
133,,Movie,Ee Nagaraniki Emaindi,9/6/2019,2018,TV-14,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",81052275
100,,Movie,Kill Me If You Dare,9/6/2019,2019,TV-14,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",81132437
,1,TV Show,The Spy,9/6/2019,2019,TV-MA,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",80178151
86,,Movie,Hell and Back,9/6/2018,2015,R,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",80058026
146,,Movie,PK,9/6/2018,2014,TV-14,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,70303496
79,,Movie,Hard Tide,9/6/2017,2015,TV-MA,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,80162141
102,,Movie,Elstree 1976,9/6/2016,2015,TV-PG,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",80095641
10,,Movie,American Factory: A Conversation with the Obamas,9/5/2019,2019,TV-G,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,81176188
122,,Movie,ATM,9/5/2018,2012,TV-14,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",80159880
126,,Movie,Bangkok Traffic (Love) Story,9/5/2018,2009,TV-14,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",81016044
116,,Movie,I Fine... Thank You... Love You,9/5/2018,2014,TV-14,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",80158838
135,,Movie,One Day,9/5/2018,2016,TV-PG,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",81016045
125,,Movie,Phobia 2,9/5/2018,2009,TV-MA,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.",70142798
96,,Movie,Shutter,9/5/2018,2004,TV-MA,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",70062814
130,,Movie,Suckseed,9/5/2018,2011,TV-MA,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",80158839
98,,Movie,Carrie Pilby,9/5/2017,2016,TV-14,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",80147760
70,,Movie,Marc Maron: Too Real,9/5/2017,2017,TV-MA,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",80177405
,1,TV Show,No Tomorrow,9/5/2017,2016,TV-14,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",80113482
128,,Movie,Saawan,9/4/2019,2016,TV-14,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",81160036
88,,Movie,The Heretics,9/4/2019,2017,TV-MA,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,81173255
108,,Movie,The World We Make,9/4/2019,2019,PG,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",81078908
93,,Movie,Watchman,9/4/2019,2019,TV-14,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",81155784
135,,Movie,Black Panther,9/4/2018,2018,PG-13,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",80201906
88,,Movie,Man Up,9/4/2018,2015,R,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",80052612
,1,TV Show,Frequency,9/4/2017,2016,TV-14,"A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",80113641
64,,Movie,Mo Gilligan: Momentum,9/30/2019,2019,TV-MA,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",81054495
,1,TV Show,Adam Ruins Everything,9/30/2018,2018,TV-14,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",80996949
,1,TV Show,Ben 10,9/30/2018,2016,TV-Y7,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.,80239337
107,,Movie,Big Miracle,9/30/2018,2012,PG,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",70212504
,1,TV Show,Christiane Amanpour: Sex & Love Around the World,9/30/2018,2018,TV-MA,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.",81011682
,1,TV Show,The Eighties,9/30/2018,2016,TV-PG,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.",80128317
,1,TV Show,The Nineties,9/30/2018,2017,TV-14,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.,81027384
,1,TV Show,The Seventies,9/30/2018,2015,TV-PG,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.",80030186
,1,TV Show,We Bare Bears,9/30/2018,2017,TV-Y7,"Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.",80116921
130,,Movie,The Mayor,9/30/2017,2017,TV-MA,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",80187061
,1,TV Show,The Royal House of Windsor,9/30/2017,2017,TV-14,"Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.",80181555
92,,Movie,Amanda Knox,9/30/2016,2016,TV-MA,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,80081155
,1,TV Show,Lovesick,9/3/2018,2014,TV-14,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,80184358
96,,Movie,The Debt Collector,9/3/2018,2018,TV-MA,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.",80198585
112,,Movie,Act of Vengeance,9/29/2018,2010,NR,"Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist).",70233894
111,,Movie,Paradise Lost,9/29/2018,2018,TV-MA,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",81011955
103,,Movie,Gerald's Game,9/29/2017,2017,TV-MA,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",80128722
40,,Movie,Long Shot,9/29/2017,2017,TV-14,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",80182115
,1,TV Show,Mak Cun,9/29/2017,2015,TV-PG,A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.,80163293
103,,Movie,Our Souls at Night,9/29/2017,2017,TV-14,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",80104068
85,,Movie,Out of Thin Air,9/29/2017,2017,TV-14,"Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted.",80119349
,1,TV Show,Paul Hollywood's Big Continental Road Trip,9/29/2017,2017,TV-14,"Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.",80199032
,1,TV Show,Satu Hari,9/29/2017,2014,TV-14,"A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.",80180449
72,,Movie,"Monster High: Boo York, Boo York",9/29/2015,2015,TV-Y7,Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.,80019931
45,,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,9/28/2019,2019,TV-G,An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.,81053893
89,,Movie,Domino,9/28/2019,2019,R,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",80200087
90,,Movie,TUNA GIRL,9/28/2019,2019,TV-PG,A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.,81053892
126,,Movie,5CM,9/28/2018,2012,TV-14,"Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",81002850
130,,Movie,Animal World,9/28/2018,2018,TV-MA,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.",81004470
126,,Movie,Hold the Dark,9/28/2018,2018,TV-MA,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",80157072
24,,Movie,Lessons from a School Shooting: Notes from Dunblane,9/28/2018,2018,TV-PG,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart.",81001809
,1,TV Show,Made in Mexico,9/28/2018,2018,TV-MA,"These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.",80201933
127,,Movie,Single,9/28/2018,2015,TV-PG,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.",81002864
108,,Movie,The 3rd Eye,9/28/2018,2018,TV-MA,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home.",81016750
163,,Movie,The Sinking Of Van Der Wijck,9/28/2018,2013,TV-14,"When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.",81002866
117,,Movie,Two Catalonias,9/28/2018,2018,TV-MA,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.,80992039
106,,Movie,Bobby Sands: 66 Days,9/28/2017,2016,TV-14,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.",80126507
,1,TV Show,Bard of Blood,9/27/2019,2019,TV-MA,"Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.",80225885
102,,Movie,Deliha 2,9/27/2019,2018,TV-PG,"While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways.",81132443
,1,TV Show,Dragons: Rescue Riders,9/27/2019,2019,TV-Y,"Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.",80218107
116,,Movie,In the Shadow of the Moon,9/27/2019,2019,TV-MA,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.,80231903
,1,TV Show,Skylines,9/27/2019,2019,TV-MA,A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.,80220715
42,,Movie,Sturgill Simpson Presents Sound & Fury,9/27/2019,2019,TV-MA,"In this anime visual album, a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents.",81171121
,1,TV Show,The Politician,9/27/2019,2019,TV-14,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.,80241248
95,,Movie,Weeds on Fire,9/27/2018,2016,TV-14,"In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league.",81012295
104,,Movie,Much Loved,9/27/2017,2015,TV-MA,Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.,80060037
75,,Movie,Joseph: King of Dreams,9/27/2011,2000,TV-PG,"With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.",60003155
133,,Movie,Malaal,9/26/2019,2019,TV-14,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl.",81177238
108,,Movie,The Grandmaster,9/26/2019,2013,PG-13,"As the Japanese invasion looms, Chinese kung fu master Ip Man's world changes when rival master Gong Er and her father arrive in his village.",70270775
,1,TV Show,The Inmate,9/26/2019,2018,TV-MA,A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter.,81025403
103,,Movie,The Hurricane Heist,9/26/2018,2018,PG-13,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.,80215923
82,,Movie,Def Comedy Jam 25,9/26/2017,2017,TV-MA,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam.""",80151483
94,,Movie,Restless Creature: Wendy Whelan,9/26/2017,2016,TV-MA,"After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life.",80173625
100,,Movie,Print the Legend,9/26/2014,2014,TV-14,"This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution.",80005444
38,,Movie,Birders,9/25/2019,2019,TV-G,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.,80244682
97,,Movie,Furie,9/25/2019,2019,TV-MA,"When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors.",81075519
89,,Movie,Leap!,9/25/2019,2016,PG,"Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights.",80166318
146,,Movie,Oh! Baby (Malayalam),9/25/2019,2019,TV-14,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.,81186758
146,,Movie,Oh! Baby (Tamil),9/25/2019,2019,TV-14,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.,81186757
130,,Movie,USS Indianapolis: Men of Courage,9/25/2019,2016,R,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks.",80108976
110,,Movie,A Wrinkle in Time,9/25/2018,2018,PG,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.",80208155
81,,Movie,Teach Us All,9/25/2017,2017,TV-14,"It's been decades since Brown v. Board of Education, yet American schools remain largely segregated. Some leaders are working to change that.",80198423
91,,Movie,White Island,9/25/2017,2016,TV-MA,"Returning to Ibiza after several years walking the straight and narrow in London, Connor falls back in with a criminal crowd. It's like he never left.",80162144
106,,Movie,Inside Man: Most Wanted,9/24/2019,2019,R,A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve.,81053953
58,,Movie,Jeff Dunham: Beside Himself,9/24/2019,2019,TV-MA,"Jeff Dunham takes the stage in Dallas with his old pals Peanut, Walter, José Jalapeño, Bubba J and Achmed to poke fun at himself and American culture.",81074113
111,,Movie,China Salesman,9/24/2018,2017,TV-MA,A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.,80992496
112,,Movie,Swearnet: The Movie,9/24/2017,2014,NR,"After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences.",70304191
102,,Movie,The Bar,9/24/2017,2017,TV-MA,Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises.,80103311
152,,Movie,Manmadhudu 2,9/23/2019,2019,TV-MA,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",81176200
,1,TV Show,Team Kaylie,9/23/2019,2019,TV-PG,"After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader.",80238106
87,,Movie,Under the Eiffel Tower,9/23/2019,2018,TV-MA,An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.,80208906
99,,Movie,Audrie & Daisy,9/23/2016,2016,TV-14,"In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities.",80097321
78,,Movie,Iliza Shlesinger: Confirmed Kills,9/23/2016,2016,TV-MA,"The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all.",80106966
,1,TV Show,BONDING,9/22/2019,2019,TV-MA,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,81004814
121,,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,9/22/2019,2009,TV-14,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",81080769
91,,Movie,20 Feet From Stardom,9/22/2018,2013,PG-13,"Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",70267838
101,,Movie,In Darkness,9/22/2018,2018,TV-MA,"A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes.",80211380
101,,Movie,Gaga: Five Foot Two,9/22/2017,2017,TV-MA,"Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles.",80196586
119,,Movie,The Bad Batch,9/22/2017,2016,R,"Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals.",80099204
83,,Movie,SMOSH: The Movie,9/22/2015,2015,PG-13,"To keep his teen crush from spotting him in an embarrassing YouTube video, Anthony and his friend Ian must enter the virtual world and alter the clip.",80059432
182,,Movie,King of Boys,9/21/2019,2018,TV-MA,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",81172721
106,,Movie,Merry Men: The Real Yoruba Demons,9/21/2019,2018,TV-MA,"Four of the richest bachelors in Abuja, Nigeria enjoy a life of fast cars, palatial homes and female attention while concealing their true activities.",81172727
102,,Movie,Sarah's Key,9/21/2019,2010,PG-13,"Paris, 1942: To protect her brother from the police arresting Jewish families, a young girl hides him away, promising to come back for him.",70153543
98,,Movie,The Wedding Party 2: Destination Dubai,9/21/2019,2017,TV-14,"In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events.",81172728
,1,TV Show,Vagabond,9/21/2019,2019,TV-MA,"When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri.",81095101
,1,TV Show,Battlefish,9/21/2018,2018,TV-MA,"Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast.",80195173
,1,TV Show,DRAGON PILOT: Hisone & Masotan,9/21/2018,2018,TV-14,Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.,80241960
,1,TV Show,Hilda,9/21/2018,2018,TV-Y7,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.",80115346
,1,TV Show,Maniac,9/21/2018,2018,TV-MA,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,80124522
124,,Movie,Quincy,9/21/2018,2018,TV-MA,"This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.",80102952
63,,Movie,Rafinha Bastos: Ultimatum,9/21/2018,2018,TV-MA,"An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again.",80214464
,1,TV Show,The Good Cop,9/21/2018,2018,TV-PG,"When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad.",80157073
83,,Movie,Between Two Ferns: The Movie,9/20/2019,2019,TV-MA,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show.",80243600
,1,TV Show,Criminal: France,9/20/2019,2019,TV-MA,"Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance.",81020513
,1,TV Show,Criminal: Germany,9/20/2019,2019,TV-MA,"In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all.",81020518
,1,TV Show,Criminal: Spain,9/20/2019,2019,TV-MA,"Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost.",81020523
,1,TV Show,Criminal: UK,9/20/2019,2019,TV-MA,"Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.",80216172
82,,Movie,Daddy Issues,9/20/2019,2019,TV-MA,"Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well.",81122669
,1,TV Show,Inside Bill's Brain: Decoding Bill Gates,9/20/2019,2019,TV-14,Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing.,80184771
