director	show_id
Anthony Byrne	80211380
Chris Moukarbel	80196586
Ana Lily Amirpour	80099204
Alex Winter	80059432
Kemi Adetiba	81172721
Toka McBaror	81172727
Gilles Paquet-Brenner	70153543
Niyi Akinmolayan	81172728
Rashida Jones	80102952
Scott Aukerman	80243600
Mariano Barroso	81020523
Amara Cash	81122669
Kiko Cruz Claverol	81000389
Bedran Güzel	81132439
Chun Wong	80150502
Coerte Voorhees	80119815
Samuel D. Pollard	80993149
Ham Tran	80203776
Feng Xiaogang	80143797
Gary Michael Schultz	80161931
Liv Ullmann	80017275
Sandeep Reddy Vanga	81107545
Jacques Perrin	70118953
Justin Benson	80190449
Michael Bonfiglio	80163156
Zack Whedon	80149143
Eric Stoltz	80987075
Conrad Helten	80192815
Morgan Neville	80066798
Teo Konuralp	81147293
Jesse V. Johnson	80991316
Chris Perkel	80190588
Cheh Chang	70124316
Manny Rodriguez	70229037
Robert Eggers	80037280
Chuck Russell	80058248
John Erick Dowdle	70307661
Edgar Wright	70117312
Tony Elliott	80092885
Troy Miller	80108371
Louis C.K.	70129452
Jeremy Coon	80045805
Orlando von Einsiedel	80101827
Tom Donahue	81030342
Michèle Ohayon	70054723
Timothy Woodward Jr.	81131761
Nia Dinata	81016326
Mark O'Connor	80227777
Ajithkumar	81018233
Lucky Kuswandi	81016317
Riri Riza	81016337
Vijay Milton	81018234
Susannah Heath-Eves	81018241
Santwana Bardoloi	81018235
Atanu Ghosh	81018236
Amitava Bhattacharya	81018237
Partha Chakraborty	81018238
Raffi Ahmad	81016339
Angelina Jolie	80067522
Pavel Parkhomenko	80192149
Azfar Jafri	80142637
R. Ellis Frazier	80192014
R. Ellis Frazier	80192015
Yance Ford	80168230
Mark Tonderai	80202129
Roman Atwood	80088910
Dan Forrer	70290909
Kip Andersen	80033772
B. V. Nandini Reddy	81093951
Randall Lobb	80238013
Stacie Passon	81089941
Manop Janjarasskul	81000011
Shinsuke Sato	80217733
Chatchai Katenut	80999985
Ariel Vromen	80188120
Nicole Holofcener	80164779
Jerry G. Angelo	81092328
Michael Feifer	81183572
Elle Callahan	81037283
Alex Stapleton	80244973
K?vanç Baruönü	81132438
Teng Huatao	81161230
Nzingha Stewart	81002412
Mark Dennis	81023636
Ben Wallis	80198046
Dan Krauss	80106307
David Soren	70267728
Alessio Cremonini	81001000
Elaine McMillion Sheldon	80192445
Michael Simon	80158670
Joram Lürsen	80244019
Oliver Frampton	80162143
Mike Binder	81060174
Ryan Murphy	70130445
Orlando von Einsiedel	80216928
Mark Franchetti	81001494
Damián Romay	80991570
Trent Haaga	80184129
Mary Harron	60000861
Roger Donaldson	1151375
Petra Costa	81137484
Steven C. Miller	80187228
Richard Miron	81031008
Tony Leondis	70099119
Roger Kumble	70039185
Kunle Afolayan	81165769
Craig Gillespie	70056433
Nick Cassavetes	70113003
Clint Eastwood	60031232
Kunle Afolayan	80032842
Petra Costa	81137482
Roger Allers	70043308
Kunle Afolayan	81165771
Wolfgang Petersen	70044697
Jonathan Demme	70105368
Bernie Denk	81141689
Ivan Reitman	1008581
Greg Mottola	70058023
Kunle Afolayan	81165786
Kunle Afolayan	81165770
Alejandro Agresti	70043303
Daniel Stamm	70136074
Phillip Noyce	1153194
Tony Scott	70112730
Ahmed Zain	81158575
Mohamed Hamdy	81065786
Dennis Dugan	70087541
Peter Ho	81004113
Jordi Llompart	81003984
Rian Johnson	70024088
Olivier Marchal	81005312
Dennis Iliadis	80082969
Qaushiq Mukherjee	80994130
Sudip Bandyopadhyay	81019924
Onir	81018240
Jatla Siddartha	81013710
Jeremy Saulnier	70077076
Kanwal Sethi	81014988
Banjong Pisanthanakun	80102950
Alfonso Cuarón	70055221
Samuel Jouy	81005314
Akiva Goldsman	80242828
Damien Leone	81004223
Karen Moncrieff	80198730
Jean-Pierre Devillers	80999945
Sophon Sakdaphisit	81016043
Curtis Hanson	17672040
Young Jun Lee	81011096
Rajiv Mehra	20254278
Toshiyuki Kubooka	70276596
Toshiyuki Kubooka	80063025
Todd S. Yellin	70068739
Jesse Adang	80184974
Rajiv Mehra	80156941
Elizabeth Chai Vasarhelyi	80061314
Toshiya Shinohara	70052492
Toshiya Shinohara	70036200
Toshiya Shinohara	70018513
Mohammed Hussain	80158480
Eli Craig	80139506
Parambrata Chatterjee	80205314
Shammi Kapoor	80158545
Umesh Mehra	80156939
Masahiko Murata	80152537
Masahiko Murata	80045673
Masahiko Murata	70275937
Hirotsugu Kawasaki	70101321
Toshiyuki Tsuru	70108386
Tensai Okamura	70074559
Florian Schnell	80162197
Josh Izenberg	80184055
Thierry Demaizière	80160358
Spike Lee	60034929
Latif Faiziyev	80157134
Gastón Duprat	80141891
Bette Gordon	80183897
Gary Wang	80177834
Raz Degan	80121855
Israel Adrián Caetano	80168028
Mariano Cohn	80190990
Drew Stone	80173269
Joram Lürsen	80106140
Jelle de Jonge	80106137
Afia Nathaniel	80114155
Luke Jurevicius	80118841
Sean Cisterna	80102579
Will Allen	80097438
Nacho G. Velilla	80114419
David Serrano	80103426
Jay Chapman	70278877
Jenny Gage	80244311
Kaila York	81183570
Ifa Isfansyah	81016328
Stan Lathan	80239503
Angga Dwimas Sasongko	81016321
Evgeny Afineevsky	80031666
Ryan Polito	80995737
Kabir Bhatia	81020161
Russell Crowe	80025390
Andrew Sandler	80196216
Ava DuVernay	80091741
Dave Higby	80115464
Richie Smyth	80041653
Andibachtiar Yusuf	81016338
Dustin Nguyen	81002592
Chris Eigeman	81017724
Stanley Tong	80170301
David France	80189623
Vandana Kataria	81177367
Angga Dwimas Sasongko	81016323
Riri Riza	81016318
Olaf de Fleur	80242081
Tamara Jenkins	80168222
Onur Bilgetay	81158574
Vincenzo Natali	80237905
Tugçe Soysop	81132440
Jacob Joice	81021243
Craig Goodwill	81004460
Riri Riza	81016330
Mickey Liddell	70105130
Michael D. Black	80141858
Juani Libonatti	81084225
DJ Chen	80203920
Dani de la Torre	80199806
Jerrold Tarog	80084834
Judah Friedlander	80208273
Errol Morris	80145699
Oliver Blackburn	70266684
Park Joon-hwa	81166978
Saravana Rajendran	81177371
Onir	70067230
Jitendra Tiwari	80207446
Vivek Wagh	80207447
Riri Riza	81016324
Alex Israel	80192097
Lee Fulkerson	70185045
Joe Camp	70002129
Kavi Raz	80191963
Nick Simon	80218099
Don Mancini	80199767
Brandon Jones	80191665
Alain Desrochers	80161921
Brian Volk-Weiss	81148672
Deniz Gamze Ergüven	80224362
Robert Vince	80092857
Everardo González	80244679
Matt Kay	81110394
Drake Doremus	80067754
Robert Vince	80189954
Osgood Perkins	80094648
Werner Herzog	80066073
Julien Rambaldi	80123740
Yvan Attal	80123741
Benjamin Weill	80123742
Scott Hussion	81000863
Wilson Yip	70082255
Griffin Dunne	80117454
Roger Gual	80095197
J. Davis	80045783
Rob Smat	81123469
Tinge Krishnan	80211622
Aleksey German	80990221
Eric Zaragosa	80202352
Sergio Barrejón	80235268
Sandi Tan	80241061
Vijay Yelakanti	81025088
Katherine Dieckmann	80173479
Natalie Portman	80081372
John Murlowski	81136744
Ozan Aç?ktan	81132444
Craig Brewer	80182014
Billy Lyons	81078456
Michael Steed	81121023
Zak Hilditch	81018455
Michael Steiner	81110383
Vlad Yudin	81018183
Paul Berczeller	80219941
Quentin Tarantino	80064515
Chris Buck	80062011
Andrew Slater	81034741
Glen Goei	81075461
S.S. Rajamouli	80205231
Brian Klein	80158919
Katy Chevigny	70299286
Sarik Andreasyan	80017261
Huw Cordey	80186796
Yuen Woo-ping	81071891
Steve Brill	80224536
Don Michael Paul	80994444
Noah Baumbach	80017286
Jonathan Mostow	70295169
Brett Haley	80039050
Gillian Robespierre	81027753
Tobe Hooper	15815343
Daniel Benmayor	70295176
Abu Bakr Shawky	81043190
Jedd Wider	80131240
Nagesh Kukunoor	70170182
Priyadarshan	70082633
Raj Kanwar	70049619
Pooja Bhatt	80211135
Satish Kaushik	70109884
Nikhil Advani	70176967
Anees Bazmee	70198040
Andrew Bujalski	80038442
Ben Wheatley	80091310
Riri Riza	70114484
Anthony Giordano	80117443
Wyatt Cenac	80010717
Joanna Lombardi	81020005
David Batty	81035748
Zak Hilditch	80135164
Jennifer Siebel Newsom	70167128
Heidi Ewing	80118101
Jeremy Rush	80113669
Luis Javier Henaine	81094801
Anand Kamalakar	81191195
Don Michael Paul	80218973
Eric Idle	80235999
Anthony Giordano	80215419
Will Yapp	70118860
Eric Idle	80017240
Will Yapp	70118859
Terry Hughes	80236778
Roger Graef	80236470
Terry Jones	699257
Ian MacNaughton	80236574
Albert Sharpe	80988048
Leslye Headland	80039069
Jay Karas	80046779
Prakash Satam	80995687
Barry Sonnenfeld	60001650
Omoni Oboli	81172848
Thomas Vinterberg	81034575
Marcos Bucay	80226951
Peter Lepeniotis	80232279
Kim Jee-woon	80239666
Rajesh Touchriver	81011973
David Lam	80144152
David Batty	81035749
David Batty	81035750
David Batty	81035751
Timo Tjahjanto	80148162
Reem Kherici	80171705
Adze Ugah	81172729
Steve Gukas	81172895
Ciarán Foy	80206910
Frank Rajah Arase	81172905
Y?lmaz Erdo?an	81132442
Tope Oshin	81172723
Daniel Sánchez Arévalo	80990336
Don Omope	81172909
Ed Perkins	80214706
Steven Soderbergh	80994011
Tope Oshin	81172902
Udai Singh Pawar	80998890
Guntur Soeharjanto	81047903
Thiru	81026343
Federico Lemos	80208635
Harald Zwart	70125931
Bruce McDonald	70235768
Bobcat Goldthwait	80177406
Bassam Tariq	81081656
Leslie Iwerks	81187847
Kim Joo-hyung	81053240
Ciarán Foy	80043834
Louie Psihoyos	81157840
Tom Forrest	80244900
Milan Luthria	80211134
John Crowley	70271601
Ranjit Tiwari	80204433
Tom Fassaert	80089199
Adam Dubin	80043049
Cary Joji Fukunaga	80044545
Aaron Hann	80070182
Ahmet Kat?ks?z	80176234
Alexandros Avranas	80992769
Anindya Chatterjee	81191228
Anik Datta	81025935
Rajkumar Hirani	81020508
Ishaan Trivedi	80201824
Biswajeet Bora	80203782
Sohail Tatari	80201829
David Stubbs	80126016
Madhur Bhandarkar	80202089
Parveen Kumar	80203789
Matías Gueilburt	80193423
Ananth Narayan Mahadevan	80201825
Ah Loong	80202376
Girish Malik	80028360
Debaloy Dey	80203783
Martin Rosete	80142617
Jasmine D'Souza	80201823
Ben C. Lucas	80190841
Rohit Jugraj	80115858
Shakti Samanta	80158547
Raj B. Shetty	80206827
Navneet Behal	80202090
Sukhbir Singh	80203790
Naresh Saigal	80158391
Ram Gopal Varma	80201822
Dhruv Dhawan	80211540
Thomas Sorriaux	80123743
Toshiyuki Kubooka	70258995
Noriyuki Abe	70208801
Noriyuki Abe	70260383
Clovis Cornillac	80123744
Hajime Kamegaki	70105699
Hajime Kamegaki	70124999
Jean-François Blais	80990869
Derek Hui	80187205
Kevin MacDonald	80097472
Stefano Sollima	80075009
Dave Higby	70280748
Leïla Sy	81034012
Shaad Ali	81019031
Mahmoud al Massad	80148070
Yesim Ustaoglu	80155812
Jan Suter	80183198
Lucy Cohen	80158844
McG	80164456
Noah Baumbach	80174434
Christopher Guest	80075476
Gareth Evans	80158148
Paul Urkijo Alijo	80239565
Johanna Demetrakas	80216844
Padraic McKinley	80187722
Rizal Mantovani	81021082
Kief Davidson	80191047
Sara Colangelo	80240972
Mahmoud Sabbagh	80103282
Borja Cobeaga	80134526
Jonathan Demme	80127559
Leo Riley	80005501
Hakan Algül	81132441
Vince Gilligan	81078819
Brad Anderson	80223997
Bolanle Austen-Peters	81191666
Sion Sono	81133621
Dennis Rovira van Boekholt	81038598
Angga Dwimas Sasongko	81016322
Mohamed Diab	80147323
Naoto Amazutsumi	81171871
Paul Greengrass	80210932
Rusty Cundieff	81015317
Jay Karas	80205204
Alastair Fothergill	70235731
James Yukich	80003481
Maciej Dejczer	81168338
Rusty Nixon	81103033
Lee Tamahori	60002273
Richard Rich	70297962
Michael Bay	269880
Michael Bay	60029167
Ted Demme	60020891
Bernard Rose	347365
McG	60003242
McG	60027726
Lee Yoon-jung	81166946
Paul Haggis	70023961
Troy Miller	60027716
Dave Green	70287957
Wojciech Marczewski	81168345
Andrzej Bartkowiak	60020892
Roy Poortmans	81164752
Brian Robbins	60028097
Mark Helfrich	70065112
Jon Hurwitz	70083108
Bille Woodruff	70184050
Janusz Majewski	81168347
Alex Merkin	81003460
Janusz Majewski	81168348
Alex Proyas	70095135
Vrinda Samartha	81191254
Jacek Koprowicz	81168340
Barry Sonnenfeld	60023597
Nicholaus Goossen	81002876
Scott Hicks	70058017
Steven Soderbergh	70058024
Steven Soderbergh	70011211
Morgan Spurlock	70271599
Martin Scorsese	70020699
Stig Bergqvist	60003540
Wes Craven	1181550
Asif Kapadia	70170051
Robert Rodriguez	70021630
Dorian Fernández-Moris	81043753
Jeannot Szwarc	60001761
Bryan Singer	70041963
Ash Brannon	70058025
Andy Tennant	70128696
Rob Reiner	70077542
Marek Piwowski	81168342
Kunle Afolayan	81165772
Brian Levant	510854
Brian Levant	60000921
Stanis?aw Ró?ewicz	81168343
Gabriele Muccino	70044605
Igor Kovalyov	18021979
Krzysztof Zanussi	81168344
Noah Baumbach	70020750
Robert Schwentke	70105596
Danny Boyle	60037022
Wolfgang Petersen	60034571
Paul Feig	70053456
Alex Smith	80173150
Antoni Krauze	81168341
Stanis?aw Ró?ewicz	81168346
Simranjit Singh Hundal	80137461
Justin G. Dyck	81012857
Ram Gopal Varma	70123116
N. Linguswamy	80190101
Deep Joshi	81024712
Antoine Fuqua	70112494
John Curran	80215922
Rakeysh Omprakash Mehra	70113306
Anurag Kashyap	70113305
Manjeet Maan	80032472
Shagufta Rafique	81024703
Shakun Batra	70181653
Andrew Renzi	80048200
Tinu Pappachan	81025884
Amitoj Mann	80032474
Amarpreet G S Chabbra	80032476
Paresh Mokashi	70127589
Anurag Basu	80104130
Rohit Jugraj	80032473
Ashutosh Gowariker	70090035
Atharv Baluja	81024713
Vishal Bhardwaj	70117268
Leslie Small	70211216
Shannon Hartman	70140322
Rohit Jugraj	81024696
Shashanka Ghosh	70303428
Steve Greenwood	81012407
Puneet Sira	70125882
Aziz Mirza	70101039
Renzil D'Silva	70123121
Smeep Kang	80152182
Sameer Sharma	70229042
Chandan Arora	70042756
Baljit Singh Deo	80187618
Amitoj Mann	81024704
Jennifer Peedom	80221498
Mysskin	70229047
Rajan Madhav	70229555
Raaghav Dar	70213515
Ishi Rudell	81018563
Ishi Rudell	81018565
David Lee Miller	70114948
Thiru	80190103
Amit Saxena	81024729
Pankaj Batra	80032477
Jaivi Dhanda	81024711
Suman Ghosh	81025908
Kabir Khan	70303495
Akshay Akkineni	70303429
Nidhi Sharma	80084768
Mastan Alibhai Burmawalla	70096752
Abbas Alibhai Burmawalla	70229046
Vipin Parashar	80084767
Vikram Pradhan	81024701
Vijay	70229048
Eduardo Chauvet	80995576
Sundar C.	70292836
Sartaj Singh Pannu	80141767
Vikramaditya Motwane	70139542
James McTeigue	70039175
N. Linguswamy	70225597
Ayaan Mukherji	70123119
Sidharth Malhotra	70150437
Saket Behl	80084667
Kevin Smith	70099118
Anjum Shahzad	81024705
Geun-hyun Cho	80198771
Christian Desmares	80062096
Kyran Kelly	70291096
Adam Wood	70130483
Zeke Norton	80031038
Karen J. Lloyd	80065930
Andrew Tan	80112370
William Lau	70165189
Ezekiel Norton	70197459
Conrad Helten	80095193
Ezekiel Norton	70246439
Conrad Helten	80158155
Alê Abreu	80063617
Carlos Therón	80202503
Francesco Carrozzini	80147971
Noah Baumbach	70257412
Vlad Yudin	80172937
Karen J. Lloyd	80118280
Benjamin Turner	80135360
Steve Race	70286355
Brett Harvey	80150246
Roger Allers	80017272
Keiichi Hara	80075828
William Lau	80095089
Audu Paden	80208176
Claude Barras	80116741
Jean-Loup Felicioli	80063290
Toa Fraser	80162195
Vibeke Idsøe	80106036
Chan-sang Lim	80198687
Kyoko Miyake	80163353
Carlos Algara	80162246
Stephen Donnelly	80112371
Mikhil Musale	80208413
Riccardo Pilizzeri	80128277
Guilherme Fontes	80094453
Aamir Bashir	70153553
Alejandro Fernández Almendras	80098709
Álex de la Iglesia	80092849
Ishi Rudell	80107372
David Schalko	80138584
Pieter Kuijpers	80106138
Prashant Nair	80038288
Paul Taublieb	80109089
Riccardo Milani	80061797
Larry Elikann	70206821
Robert Markowitz	70206816
Eric Laneuville	60022914
Joel Oliansky	70206818
Roy Campanella II	70206819
Arthur Allan Seidelman	70206822
John Herzfeld	70206820
Buzz Kulik	70206823
Richard Michaels	70206824
Linda Otto	70206825
Roger Young	70206826
Vincent Kok	81029831
Fellipe Barbosa	80194289
Christian Zübert	80191219
David Mackenzie	80190859
David Palmer	70243445
Luke Snellin	80201542
Xavier Durringer	81079723
Jack C. Newell	81003058
Cecilia Atán	80236993
Gus Van Sant	80057565
Saratswadee Wongsomphet	81002596
Kirati Nakintanon	81002597
Antongiulio Panizzi	80148275
Pawan Kumar	80127886
Patricia Rozema	80080491
Trey Edward Shults	80046777
Christian Charles	60024976
Bronwen Hughes	80173002
Orlando von Einsiedel	80009431
Phillip Youmans	81092045
Zhang Yimou	81034600
John Ridley	80183783
Lucas Margutti	81209203
Neal Brennan	81058497
Azazel Jacobs	80167628
Jung Ji-woo	81165326
Leslie Small	81053961
Tejas Prabha Vijay Deoskar	81029848
Anees Bazmee	80204460
Jim Fall	70209267
Marita Grabiak	70306305
Jason Priestley	70262831
Neill Blomkamp	70113005
Noah Baumbach	70052286
Matt D'Avella	80114460
Parthiban	81206389
Morgan Matthews	80196135
Marcus Raboy	80117461
Kief Davidson	80117533
Luis Ara	81197050
Abhishek Sharma	81213894
John Schultz	80238204
Damien O’Connor	80230507
Joseduardo Giordano	80990725
Rudy Soedjarwo	81016327
Alice Rohrwacher	81004245
Kabir Bhatia	81033200
Nandita Das	81039383
Leena Yadav	81018377
Romain Gavras	81021528
Sebastián Hofmann	80991809
Heidi Brandenburg	80097475
John Luessenhop	70117294
Mike Disa	70117582
Pali Yahya	80163294
Mati Diop	81082007
Moses Inwang	81172754
Jérémy Clapin	81120982
Mandla Dube	81227195
Mike Ezuruonye	81172841
Cheta Chukwu	81172899
Roger Russell	81172908
Toka McBaror	81172901
Leslie Small	81033086
Frank Oz	60020826
Lu Yang	80226242
Edward Zwick	70101696
Basava Shankar Eeday	81194544
Prakash Satam	80995081
Elle-Máijá Tailfeathers	81177504
Martin Scorsese	80175798
Dante Lam	80239961
Shreyas Talpade	80219019
Seth Barrish	81062293
Steve Ball	80235524
Sanjiv Jaiswal	81215481
Marta Jaenes	81005044
Daniel Raim	80147529
Denny Lu	81018860
Luis Ara	80217495
María Jose Cuevas	80141787
Oz Rodriguez	80049871
Aleksandr Chernyaev	81218079
Robert Altman	60028294
Ric Roman Waugh	80125671
Cary Murnion	80174220
Jon Alpert	80126449
Ibai Abad	80103512
Charles A. Nichols	60020948
David Ayer	70235384
John Irvin	569355
Simon Wells	60022645
David Ayer	80225915
Julio Soto Gurpide	80196379
Julien Abraham	80198859
Tsutomu Mizushima	80159876
Nate Adams	81218074
Clay Kaytis	80199682
Barbra Streisand	80203522
Qaushiq Mukherjee	80107037
Chris Sparling	80077402
Qaushiq Mukherjee	80107219
Kathryn Bigelow	60023606
Monika Mitchell	81026188
Noah Baumbach	80080109
Fernando Colomo	80988835
Josh Wakely	80208104
Troy Miller	80134827
Jacob Kornbluth	80127558
Jon Gunn	80158084
Jan Suter	80124725
Anne Fontaine	70267398
Joshua Caldwell	80108983
Mike Judge	292118
Bruce W. Smith	70003046
Eva Orner	80221584
Craig Brewer	70053833
Àlex Pastor	70122722
KVR Mahendra	81217738
Andrew Jenks	80081990
Ivan Reitman	60004471
John Schlesinger	60022413
Akiva Schaffer	70058022
Andy Tennant	60022502
Juan Carlos Rulfo	80244683
Christian Ditter	80028357
Raj R	81217739
Sergio Leone	60031884
Jim Field Smith	70117289
Bruce McCulloch	28631236
Steven Spielberg	70121502
William Brent Bell	70215455
Hugh WIlson	506464
Sam Raimi	60003508
Neal Brennan	70105132
Robert Aldrich	60004083
Marco Schnabel	70087538
Francis Ford Coppola	1181661
Lasse Hallström	60011552
Oliver Stone	70044693
Jason Reitman	70173046
Raja Gosnell	70039187
David Fincher	70044686
Robert Vince	80989043
Rocky Soraya	81021831
Raditya Dika	81021832
David Paul Meyer	80239932
Savage Steve Holland	81214223
Savage Steve Holland	80027560
Troy Nixey	70135899
Scott McAboy	81215437
Raymie Muzquiz	81215438
Stephen Herek	81214187
Joe Menendez	80160987
Vince Marcello	81215439
David R. Ellis	70178618
Eric Bross	70292700
Will Eisenberg	81214214
Matheus Souza	81020531
Sara Dosa	80191051
Bradley Walsh	80242446
Orson Welles	80085566
Morgan Neville	80124722
Benjamin Ross	70243696
Stephen Hopkins	70243692
Steve Paley	81073633
Shannon Hartman	70230138
Leslie Iwerks	70083532
Na Hyeon	80177865
Jerry Seinfeld	80117534
Houda Benyamina	80115031
Jerry Rothwell	80029708
Kristin Hanggi	80079470
Joe Dante	70127998
Alex Zamm	80160759
Chris Smith	80209608
Tilak Shetty	80182622
Dee Rees	80175694
Glenn Miller	80016471
Nicolas Winding Refn	70189289
Timo Vuorensola	81132624
Robb Dipple	80013267
Sarah Gavron	80046819
Eli Roth	70293315
Daniel Goldhaber	80177400
Asri Bendacha	81037898
Fred Cavayé	81004099
Joel Coen	80200267
Shane Acker	70113538
Wash Westmoreland	80244457
Alessandro Angulo	81196441
Mauro Scandolari	81162089
Arjun Jandyala	81217737
Shashanka Ghosh	81076114
Naoko Yamada	80093820
Sergio Pablos	80183187
Anand Tucker	70124331
Valli Bindana	81217749
Nate Adams	80158800
Makoto Shinkai	70291121
V C Abhilash	81035105
Justin G. Dyck	80224054
Nila Madhab Panda	81038832
Sameer Vidwans	81035109
Timo Tjahjanto	81030893
Nakul Singh Sawhney	81035103
Nishanth Ravindaran	81035104
Bill Guttentag	80075824
Gajendra Ahire	81035108
Swapna Waghmare Joshi	81035107
Raymond McGrath	81028556
Adele K. Thomas	81028574
Richard Bailey	81028560
Julien Leclercq	80196044
Aitor Arregi	80122177
Remo D'Souza	80136925
Radhika Rao	70040076
Volker Weicker	80117532
Manjeet Singh	70260514
Oliver Stone	80127995
Nick Mead	81156627
Gautier & Leduc	81096745
Marcus Raboy	80191804
Timothy Woodward Jr.	80191109
Lance Bangs	80004534
Matt Piedmont	70213466
Erik Matti	80222787
Christopher Guest	80244848
John Scheinfeld	80147403
Rhys Thomas	80058424
Christopher Storer	81078466
Jeremy Saulnier	80060034
Jennifer Baichwal	80205085
Tom Ford	70117297
J.M. Berrios	81152923
Josh Aronson	81171862
Alain Desrochers	80131563
Estela Renner	80107990
Jeff Wadlow	80091658
Laurent Cantet	80237420
Shannon Hartman	70174733
Raúl Campos	80183088
Natalia Valdebenito	80198018
Marcelo Galvão	80127990
Lorene Machado	80134279
Richard Donner	70044870
Kevin Reynolds	26597413
Marina Seresesky	80245356
Tony Kaye	18002692
Kenny Leon	81024100
Peter Segal	60027583
David Salzberg	80216003
Daniel Mann	60002033
Richard Brooks	70046968
Michael Kampa	81154982
Harvey Lowry	81063129
James Dearden	81074542
Jack Starrett	382650
Les Mayfield	70044705
David Lean	449931
Tarun Mansukhani	81189912
Jennifer Westcott	80215046
Robert Clouse	60036838
Valeria Golino	81179693
Stuart Baird	485218
Gregory Hoblit	1192866
Terry Gilliam	11819434
Drea Cooper	81050375
Fred M. Wilcox	516788
David Silberg	70048968
Vincente Minnelli	542137
Robert Altman	60021796
Mathieu Kassovitz	60031247
Randal Kleiser	60000577
Ernie Barbarash	80231468
Michael A. Nickles	81083786
Ken Marino	80153894
Lionel C. Martin	1179333
Clint Eastwood	70118779
Joe Boyd	653673
Jeffrey W. Byrd	70020947
Scott Stewart	70117305
Alfonso Arau	701346
Ellen Weissbrod	70111489
Michael Anderson	709163
Stanley Kubrick	709380
Theodore Witcher	1150871
Callie Khouri	70082264
Brett Ratner	1179583
Gil Kenan	70044595
Lewis Milestone	60011729
Jared Hess	70044883
Gene Quintano	22497725
Lewis Milestone	60021590
Charles Stone III	60023638
Nicholas Ray	70031792
Sam Mendes	70100383
Roman Polanski	60002403
John Dahl	17236920
Stanley Tong	923574
Blayne Weaver	81152930
Billy Bob Thornton	973861
Sam O'Steen	70058796
Sam Raimi	70047101
David Fairhead	81189396
Adam McKay	70093991
Gordon Parks	60033247
Neil Jordan	70060000
John Stephenson	70295067
Norman Jewison	70031779
David Fincher	1178866
John Dahl	60033312
Manolo Caro	81030409
David Michôd	80182016
Tony Scott	684847
Marco Bonfanti	81150305
Lilly Wachowski	20557937
Lilly Wachowski	60027695
Lilly Wachowski	60031303
Everardo González	81170692
Alan J. Pakula	848915
Kevin Donovan	60022980
Charlotte Zwerin	60003961
Pete Travis	70060005
Nick Moore	70084791
Rodrigo Guardiola	81170694
Ruben Fleischer	70123542
Neeraj Pandey	70107499
Indrajit Nattoji	70123117
Raj Kumar Gupta	70100644
Remo D'Souza	80057750
Remo D'Souza	70229045
